                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.84664,                 1.1426,                0.91543,                0.97067,                0.95131,                0.98032,                0.75808,                0.76813,                0.52651,                0.86994,              0.0006656,              0.0006656,              0.0006656
                      2,                0.80797,                0.55512,                0.89071,                0.97355,                0.95008,                0.98084,                0.77658,                0.76297,                0.50759,                0.88198,              0.0012443,              0.0012443,              0.0012443
                      3,                0.75134,                 0.5064,                0.87681,                0.98299,                0.96151,                  0.982,                0.80176,                0.68596,                0.46857,                0.85455,              0.0017351,              0.0017351,              0.0017351
                      4,                0.70501,                0.47259,                0.86312,                0.96969,                0.96029,                0.98249,                0.81045,                0.64101,                0.43496,                0.84328,               0.001604,               0.001604,               0.001604
                      5,                0.66438,                0.43763,                0.85432,                0.99063,                0.96142,                 0.9872,                0.84787,                0.58935,                0.39869,                0.83096,               0.001472,               0.001472,               0.001472
                      6,                0.65211,                0.42271,                 0.8463,                0.99301,                  0.967,                0.99011,                0.84991,                0.57069,                0.38032,                 0.8303,                0.00134,                0.00134,                0.00134
                      7,                0.62009,                0.39924,                0.83447,                0.99301,                0.96823,                0.98871,                0.85595,                0.56109,                 0.3655,                0.82111,               0.001208,               0.001208,               0.001208
                      8,                0.58543,                0.37674,                0.82841,                0.99456,                 0.9687,                0.99219,                0.87229,                0.52277,                0.34053,                0.81289,               0.001076,               0.001076,               0.001076
                      9,                0.56626,                 0.3576,                0.81949,                0.99399,                0.96936,                  0.993,                0.87112,                0.50762,                0.33004,                0.81024,               0.000944,               0.000944,               0.000944
                     10,                0.54354,                0.34015,                0.81615,                0.98545,                 0.9792,                0.99293,                0.87091,                0.51573,                 0.3168,                 0.8091,               0.000812,               0.000812,               0.000812
                     11,                0.52445,                0.32548,                0.81194,                0.99114,                0.97958,                0.99398,                0.89005,                0.48461,                0.29917,                0.80292,                0.00068,                0.00068,                0.00068
                     12,                0.50309,                0.30823,                0.80559,                0.99152,                0.97428,                0.99372,                0.89135,                0.47767,                0.29186,                0.80131,               0.000548,               0.000548,               0.000548
                     13,                0.48838,                0.29616,                0.80268,                0.99258,                0.97731,                0.99432,                0.90082,                0.45684,                0.27614,                0.79964,               0.000416,               0.000416,               0.000416
                     14,                0.47135,                0.28125,                 0.7993,                  0.993,                0.97731,                0.99419,                0.90034,                0.44592,                0.26745,                0.79607,               0.000284,               0.000284,               0.000284
                     15,                0.45494,                0.26502,                0.79699,                0.99288,                0.97693,                0.99425,                0.90494,                0.43562,                0.25259,                0.79428,               0.000152,               0.000152,               0.000152
