                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3321,                 1.1132,                 1.2127,                0.81342,                  0.689,                0.74774,                0.43624,                 1.2405,                 1.0462,                 1.3016,              0.0005553,              0.0005553,              0.0005553
                      2,                 1.3328,                0.92317,                 1.2145,                0.86566,                0.72861,                0.80805,                0.48822,                  1.163,                0.82546,                 1.2328,               0.001056,               0.001056,               0.001056
                      3,                 1.2817,                 0.8576,                  1.186,                0.85392,                0.74072,                0.81608,                0.50323,                 1.1286,                0.81852,                 1.2372,              0.0015016,              0.0015016,              0.0015016
                      4,                 1.2167,                0.79429,                 1.1561,                0.89696,                0.77083,                0.85113,                0.55009,                 1.0463,                0.67602,                 1.1656,              0.0014195,              0.0014195,              0.0014195
                      5,                 1.1766,                0.73865,                 1.1308,                0.90178,                0.77633,                0.86676,                0.57309,                 1.0016,                 0.6393,                 1.1344,              0.0013369,              0.0013369,              0.0013369
                      6,                 1.1321,                0.69949,                 1.1114,                0.91198,                0.79379,                0.87279,                 0.5792,                0.99255,                0.61205,                 1.1259,              0.0012544,              0.0012544,              0.0012544
                      7,                 1.1051,                0.67193,                  1.099,                0.90764,                 0.7979,                0.88103,                0.59562,                 0.9453,                0.58789,                 1.1005,              0.0011719,              0.0011719,              0.0011719
                      8,                 1.0841,                0.64973,                 1.0894,                0.91193,                0.80779,                0.88788,                0.60823,                0.92038,                0.56119,                 1.0827,              0.0010894,              0.0010894,              0.0010894
                      9,                 1.0591,                0.62527,                 1.0772,                0.90948,                 0.8132,                0.89479,                0.62017,                0.90618,                0.54428,                 1.0737,              0.0010069,              0.0010069,              0.0010069
                     10,                 1.0416,                0.61069,                 1.0704,                0.92489,                0.82087,                0.90258,                 0.6324,                0.88742,                0.52206,                 1.0568,             0.00092435,             0.00092435,             0.00092435
                     11,                 1.0147,                0.56317,                 1.0508,                0.91923,                0.82197,                0.90026,                0.63404,                0.88013,                0.52122,                 1.0611,             0.00084184,             0.00084184,             0.00084184
                     12,                0.99112,                0.54154,                 1.0387,                0.92628,                 0.8256,                0.90377,                0.64392,                0.86284,                0.50478,                 1.0462,             0.00075932,             0.00075932,             0.00075932
                     13,                0.96971,                0.52605,                 1.0308,                 0.9238,                0.83094,                 0.9067,                0.65064,                0.84716,                0.49072,                 1.0361,              0.0006768,              0.0006768,              0.0006768
                     14,                0.94836,                0.50717,                  1.019,                0.92726,                 0.8396,                0.91238,                0.66099,                0.83765,                0.47871,                  1.033,             0.00059429,             0.00059429,             0.00059429
                     15,                0.92561,                0.49037,                 1.0087,                0.93114,                0.84265,                0.91694,                0.66886,                0.81616,                0.46112,                 1.0158,             0.00051177,             0.00051177,             0.00051177
                     16,                0.90594,                0.47336,                0.99958,                0.93843,                0.84269,                0.91892,                0.67532,                0.80837,                0.45303,                 1.0135,             0.00042925,             0.00042925,             0.00042925
                     17,                0.88631,                0.46015,                0.99297,                0.93477,                0.84705,                 0.9216,                0.67976,                0.80146,                0.44118,                 1.0113,             0.00034674,             0.00034674,             0.00034674
                     18,                0.86885,                0.44547,                0.98366,                0.93651,                0.85051,                0.92313,                 0.6834,                 0.7894,                0.43265,                 1.0046,             0.00026422,             0.00026422,             0.00026422
                     19,                0.85366,                0.43098,                0.97514,                0.93163,                0.85671,                0.92535,                0.68804,                0.78167,                0.42358,                0.99795,              0.0001817,              0.0001817,              0.0001817
                     20,                0.83464,                0.41941,                0.96724,                 0.9296,                0.85822,                0.92536,                0.69056,                0.77735,                0.42007,                 0.9924,             9.9187e-05,             9.9187e-05,             9.9187e-05
